region,area_type,total_population,pct_age_25_45,median_age,median_hh_income,pct_income_over_100k,median_home_value,homeownership_rate,vacancy_rate,pct_single_family,pop_growth_rate,home_value_appreciation,new_permits_per_1000,unemployment_rate,pct_bachelors_plus,avg_commute_time,high_potential,pop_growth_rate_missing
Midwest,Suburban,15129,3.2808424908424882,-0.0434482758620689,6311.119565217392,1.5087544483985784,187147.6240875913,73.28,1.0,12.964793103448265,-1.0640851851851854,1.257475862068965,3.4,-6.816379928315412,1.8649454545454542,30.3,No,0
West,Rural,5246,-0.9257352941176507,7.340952380952388,-41792.97487437185,-16.638472906403948,-158031.2388059703,62.37,28.07,7.961095238095233,-2.117505,3.41714761904762,7.9,-0.6543005181347139,-11.062955665024628,,Yes,0
South,Suburban,17433,-10.009157509157511,-4.9434482758620675,3457.119565217392,-1.4412455516014226,-45714.375912408694,72.21,1.21,15.47479310344827,3.2489148148148144,0.3954758620689649,7.9,-1.7563799283154111,-8.265054545454547,47.6,No,0
Midwest,Suburban,20484,-5.5291575091575105,3.656551724137934,-15261.880434782608,-7.661245551601422,-171030.3759124087,79.62,16.13,-8.825206896551734,-0.8900851851851853,0.9124758620689652,5.7,-5.266379928315411,-8.265054545454547,33.3,No,0
Midwest,Urban,19768,-2.1757352941176507,-4.559047619047618,-42902.97487437185,-3.0184729064039484,-294358.2388059703,57.79,20.32,-21.55890476190477,-0.6935049999999998,2.8831476190476195,2.4,-1.2543005181347135,-11.062955665024628,31.8,Yes,0
South,Urban,28468,1.7908424908424863,-1.2434482758620646,44643.11956521739,11.408754448398577,,85.2,17.16,-4.135206896551736,,-4.354524137931035,0.1,6.5936200716845885,-8.265054545454547,40.2,No,1
Northeast,Urban,23950,4.580842490842485,-1.6434482758620632,38502.11956521739,12.798754448398578,231312.6240875913,46.96,3.39,-23.035206896551735,0.03291481481481462,1.8394758620689649,52.7,1.983620071684589,,32.0,No,0
Midwest,Rural,18424,2.000842490842487,3.956551724137931,-1688.880434782608,-0.6212455516014224,115414.6240875913,56.36,19.92,24.36479310344827,0.5689148148148148,0.24347586206896477,43.1,-4.306379928315412,-8.265054545454547,17.4,No,0
Northeast,Suburban,12719,-1.8591575091575123,-1.543448275862069,31633.119565217392,6.218754448398579,159876.6240875913,41.07,17.43,9.074793103448265,-0.9050851851851853,1.9764758620689653,9.9,-5.246379928315411,1.5349454545454542,20.7,No,0
Midwest,Suburban,4176,3.8542647058823434,2.8409523809523876,57147.02512562815,17.111527093596052,476230.7611940297,66.57,5.89,-0.5089047619047662,-2.864505,-2.11585238095238,79.6,-1.854300518134714,10.667044334975373,46.3,Yes,0
West,Urban,18046,-0.8391575091575092,-3.2434482758620646,23096.119565217392,,97932.6240875913,33.18,5.22,-23.325206896551734,1.2339148148148147,-2.1755241379310353,16.8,6.5936200716845885,15.854945454545454,20.9,No,0
West,Rural,15450,-0.2491575091575129,4.156551724137934,14376.119565217392,5.498754448398577,147111.6240875913,69.46,10.72,30.244793103448266,-1.0280851851851853,0.7004758620689646,1.1,1.4136200716845888,10.734945454545453,33.7,No,0
Northeast,Rural,16156,8.084264705882347,-3.8590476190476153,-6813.974874371852,-10.388472906403948,33851.76119402971,87.99,9.13,31.29109523809523,-2.5645049999999996,4.28214761904762,1.9,3.435699481865286,-11.062955665024628,18.1,Yes,0
Northeast,Urban,5465,-7.219157509157512,2.356551724137937,19674.119565217392,4.868754448398578,-18282.375912408694,71.61,,-43.745206896551736,-1.2170851851851854,2.861475862068965,37.2,2.493620071684589,-0.2950545454545459,40.8,No,0
South,Urban,6268,-0.07915750915751119,-0.9434482758620675,-7737.880434782608,,-71368.3759124087,61.28,20.2,-27.315206896551736,0.5049148148148147,-1.2445241379310352,14.9,4.923620071684589,6.3649454545454525,,No,0
South,Urban,27923,-2.045735294117655,4.540952380952383,-18836.974874371852,-8.708472906403948,-62525.23880597029,41.99,18.48,-13.228904761904765,0.9434950000000004,-4.68885238095238,27.8,1.8256994818652865,-11.062955665024628,,Yes,0
West,Suburban,12994,-0.6291575091575154,3.456551724137931,13509.119565217392,5.888754448398577,-76438.3759124087,83.45,2.57,-16.985206896551738,3.6739148148148146,-4.767524137931035,34.3,4.033620071684588,2.344945454545453,25.7,No,0
Midwest,Suburban,21526,-2.2191575091575118,2.0565517241379325,-10168.880434782608,-1.471245551601422,-82094.3759124087,84.36,16.14,20.434793103448264,-0.7910851851851853,4.226475862068965,8.9,6.5936200716845885,,33.0,No,0
Northeast,Suburban,13627,-0.54915750915751,-3.2434482758620646,-7779.880434782608,1.278754448398578,-26880.375912408694,56.26,17.28,-14.335206896551739,4.961914814814815,-2.5865241379310353,0.7,-5.4063799283154115,-4.285054545454546,29.7,No,0
South,Urban,13640,-1.8091575091575116,-1.543448275862069,1013.1195652173919,5.158754448398577,153293.6240875913,35.83,6.97,-20.415206896551737,-1.3480851851851854,-0.6985241379310354,3.1,6.5936200716845885,-1.6450545454545473,37.1,No,0
West,Suburban,25765,3.8942647058823496,-4.259047619047614,24176.025125628148,4.781527093596054,104938.7611940297,63.39,30.0,-5.8189047619047685,1.2234950000000002,3.2981476190476204,1.0,6.545699481865285,0.2970443349753715,34.6,Yes,0
West,Urban,9309,-10.859157509157512,-3.4434482758620675,-22925.880434782608,-10.791245551601422,-49372.375912408694,62.87,7.94,-20.315206896551736,-0.7820851851851853,-4.563524137931035,3.1,-2.546379928315411,2.1949454545454543,30.8,No,0
Northeast,Urban,14289,-0.8757352941176535,4.040952380952383,10170.025125628148,-7.958472906403948,20132.761194029707,64.71,5.97,-41.55890476190477,-2.685505,3.8111476190476203,7.9,-1.904300518134714,-8.362955665024629,,Yes,0
Midwest,Suburban,9666,-0.2691575091575089,-0.843448275862066,24361.119565217392,16.12875444839858,239254.6240875913,74.81,5.57,17.22479310344827,-0.8290851851851853,-0.4825241379310352,1.9,2.2636200716845885,4.504945454545453,35.0,No,0
Midwest,Suburban,9856,3.0508424908424914,-1.9434482758620675,24159.119565217392,14.078754448398579,160604.6240875913,42.76,28.48,14.654793103448263,0.5559148148148146,-3.167524137931035,2.7,3.293620071684588,21.14494545454545,24.0,No,0
West,Suburban,10759,-1.3357352941176543,4.940952380952382,,-5.588472906403947,-69920.2388059703,50.28,11.76,26.561095238095227,0.2164950000000001,-1.40785238095238,8.9,2.555699481865287,-6.6629556650246275,23.3,Yes,0
West,Urban,15607,-4.789157509157512,0.056551724137932524,-31682.880434782608,-3.0412455516014223,-169757.3759124087,83.59,9.49,-34.52520689655174,2.0009148148148146,-1.8895241379310352,6.2,-3.4063799283154115,-8.265054545454547,43.5,No,0
South,Suburban,9555,4.190842490842485,-3.7434482758620646,16833.119565217392,4.338754448398577,124341.6240875913,48.87,4.84,-1.7952068965517327,-1.2270851851851852,1.600475862068965,9.5,6.5936200716845885,4.944945454545454,35.1,No,0
South,Suburban,32177,-8.319157509157513,1.8565517241379368,5969.119565217392,-2.761245551601423,73521.6240875913,47.89,21.01,-33.145206896551734,,-1.665524137931035,8.4,-3.1663799283154113,23.074945454545457,32.0,No,1
Northeast,Urban,7142,-6.459157509157514,-1.4434482758620675,31814.119565217392,2.4687544483985775,127785.6240875913,44.84,5.28,-8.565206896551736,-1.1720851851851855,-5.456524137931035,15.5,6.5936200716845885,5.6149454545454525,20.0,No,0
Midwest,Suburban,11721,2.774264705882345,0.24095238095238614,-27989.974874371852,-16.638472906403948,-226169.2388059703,70.44,6.01,14.051095238095236,-1.166505,-1.32785238095238,41.5,-3.224300518134714,-1.3229556650246277,,Yes,0
Northeast,Urban,9820,-5.325735294117656,0.5409523809523833,10201.025125628148,11.501527093596053,-108921.2388059703,48.64,1.71,-25.56890476190477,-1.3635049999999997,-4.73585238095238,1.7,1.6556994818652866,0.34704433497537224,25.1,Yes,0
Northeast,Urban,36786,5.034264705882343,-2.9590476190476167,20554.025125628148,1.0915270935960528,-106518.2388059703,27.0,9.26,-35.14890476190477,-2.8435049999999995,-0.05285238095237954,1.6,,5.637044334975371,23.5,Yes,0
West,Rural,15330,1.1808424908424868,-2.143448275862063,-1390.880434782608,8.37875444839858,101789.6240875913,80.83,3.07,21.044793103448264,1.1999148148148149,-3.282524137931035,28.7,-0.3163799283154116,-3.865054545454546,24.9,No,0
Midwest,Rural,27509,-5.345735294117652,1.3409523809523876,-598.9748743718519,-3.0684729064039473,-96989.2388059703,51.48,7.71,20.04109523809523,,-2.12985238095238,10.6,6.315699481865287,-11.062955665024628,36.5,Yes,1
Northeast,Rural,4722,1.230842490842491,-0.1434482758620632,11468.119565217392,-1.4512455516014224,-36057.375912408694,64.29,17.76,16.56479310344826,-0.34808518518518533,0.826475862068965,21.8,-4.346379928315412,3.874945454545454,43.3,No,0
Midwest,Suburban,16105,-1.0891575091575092,-1.2434482758620646,-17264.880434782608,-10.791245551601422,-31469.375912408694,62.14,7.26,-4.355206896551735,-0.20608518518518532,-0.35852413793103466,3.6,-1.4463799283154115,-8.265054545454547,39.1,No,0
South,Urban,24902,-6.505735294117656,0.9409523809523819,2851.025125628148,-5.198472906403948,-53947.23880597029,47.61,6.38,-19.19890476190477,0.17549500000000018,0.08514761904762036,26.5,1.9856994818652867,-4.672955665024627,21.9,Yes,0
West,Suburban,14151,-5.439157509157511,1.456551724137931,56917.11956521739,29.508754448398577,290768.6240875913,77.89,4.52,14.95479310344826,-0.4570851851851853,2.3194758620689653,38.6,-1.3063799283154118,30.614945454545456,33.4,No,0
South,Suburban,28165,7.310842490842489,-2.7434482758620646,1578.119565217392,-7.811245551601422,-88538.3759124087,80.09,25.21,-3.565206896551736,1.9989148148148144,-3.1955241379310353,15.1,-7.136379928315412,-3.0550545454545457,23.1,No,0
Northeast,Urban,9301,3.8808424908424897,-1.043448275862069,-28265.880434782608,8.46875444839858,-57616.375912408694,50.69,25.97,9.58479310344827,,0.08547586206896529,1.7,6.5936200716845885,-8.265054545454547,,No,1
West,Suburban,35830,6.140842490842488,-3.843448275862066,-14625.880434782608,-10.791245551601422,10791.624087591306,58.94,15.92,11.754793103448257,4.324914814814814,-9.710524137931035,33.8,1.4936200716845889,-3.985054545454547,27.2,No,0
South,Urban,66784,1.8608424908424865,2.456551724137931,-32891.88043478261,-3.9112455516014215,-104311.3759124087,58.07,13.62,-16.075206896551734,,1.020475862068965,23.6,-3.506379928315411,-8.265054545454547,40.6,No,1
Midwest,Rural,10363,4.434264705882349,-0.9590476190476167,29656.025125628148,6.721527093596052,100644.7611940297,60.99,4.45,16.951095238095228,-2.183505,-1.56785238095238,20.8,6.045699481865285,6.237044334975373,24.7,Yes,0
West,Urban,9780,-0.4091575091575095,-1.343448275862066,23431.119565217392,5.128754448398579,220495.6240875913,59.09,15.66,-24.08520689655174,-0.5160851851851853,-2.6715241379310353,0.6,-5.966379928315412,,36.3,No,0
West,Suburban,36951,1.1608424908424908,0.656551724137934,-10761.880434782608,-10.791245551601422,-138154.3759124087,56.76,10.28,-33.825206896551734,-0.36708518518518535,1.225475862068965,24.1,3.363620071684588,2.374945454545454,21.3,No,0
South,Suburban,40364,4.724264705882348,-1.6590476190476124,-40698.97487437185,-14.888472906403948,-295796.2388059703,62.13,17.55,29.36109523809524,1.801495,2.8521476190476207,2.2,1.2956994818652854,,34.9,Yes,0
Midwest,Suburban,9264,7.290842490842486,-7.343448275862066,-17491.880434782608,-10.791245551601422,-189292.3759124087,74.3,1.3,12.104793103448266,-1.8770851851851855,-1.149524137931035,3.8,-3.6863799283154117,-8.265054545454547,,No,0
West,Suburban,9955,8.20084249084249,-1.4434482758620675,-13632.880434782608,-10.791245551601422,-44841.375912408694,62.13,,11.664793103448268,-0.6750851851851853,-2.555524137931035,12.9,-6.306379928315412,-2.545054545454546,43.2,No,0
