region,area_type,total_population,pct_age_25_45,median_age,median_hh_income,pct_income_over_100k,median_home_value,homeownership_rate,vacancy_rate,pct_single_family,pop_growth_rate,home_value_appreciation,new_permits_per_1000,unemployment_rate,pct_bachelors_plus,avg_commute_time,high_potential,pop_growth_rate_missing,median_hh_income_missing
Midwest,Suburban,15129.0,3.2808424908424954,-0.043448275862076,6311.1195652174065,1.5087544483985766,187147.6240875913,73.28,1.0,12.964793103448287,-1.0640851851851854,1.2574758620689659,3.4,-6.816379928315413,1.8649454545454613,30.3,No,0,0
West,Rural,5246.0,-0.9827456485338146,7.419444273752802,-41012.23020126384,-16.478014709307196,-155733.36628922657,62.37,28.07,8.187231850592283,-2.1325667251823788,3.399959848971849,7.9,-0.6261925134789443,-11.152780822642747,,Yes,0,0
South,Suburban,17433.0,-10.009157509157504,-4.943448275862075,3457.1195652174065,-1.4412455516014244,-45714.375912408694,72.21,1.21,15.474793103448292,3.248914814814815,0.3954758620689658,7.9,-1.756379928315413,-8.26505454545454,47.6,No,0,0
Midwest,Suburban,20484.0,-5.529157509157503,3.656551724137927,-15261.880434782594,-7.661245551601424,-171030.3759124087,79.62,16.13,-8.825206896551713,-0.8900851851851852,0.9124758620689661,5.7,-5.266379928315413,-8.26505454545454,33.3,No,0,0
Midwest,Urban,19768.0,-2.2327456485338146,-4.4805557262472036,-42122.23020126384,-2.858014709307197,-292060.3662892266,57.79,20.32,-21.33276814940772,-0.7085667251823786,2.8659598489718485,2.4,-1.226192513478944,-11.152780822642747,31.8,Yes,0,0
South,Urban,28468.0,1.7908424908424934,-1.2434482758620717,44643.11956521741,11.408754448398575,,85.2,17.16,-4.135206896551715,,-4.354524137931034,0.1,6.593620071684587,-8.26505454545454,40.2,No,1,0
Northeast,Urban,23950.0,4.5808424908424925,-1.6434482758620703,38502.11956521741,12.798754448398576,231312.6240875913,46.96,3.39,-23.035206896551713,0.03291481481481473,1.8394758620689657,52.7,1.9836200716845873,,32.0,No,0,0
Midwest,Rural,18424.0,2.000842490842494,3.956551724137924,-1688.8804347825935,-0.6212455516014241,115414.6240875913,56.36,19.92,24.364793103448292,0.5689148148148149,0.24347586206896565,43.1,-4.306379928315414,-8.26505454545454,17.4,No,0,0
Northeast,Suburban,12719.0,-1.8591575091575052,-1.543448275862076,31633.119565217406,6.2187544483985775,159876.6240875913,41.07,17.43,9.074793103448286,-0.9050851851851852,1.9764758620689662,9.9,-5.246379928315413,1.5349454545454613,20.7,No,0,0
Midwest,Suburban,4176.0,3.7972543514661794,2.919444273752802,57927.76979873616,17.271985290692804,478528.6337107734,66.57,5.89,-0.28276814940771544,-2.8795667251823787,-2.133040151028151,79.6,-1.8261925134789445,10.577219177357254,46.3,Yes,0,0
West,Urban,18046.0,-0.8391575091575021,-3.2434482758620717,23096.119565217406,,97932.6240875913,33.18,5.22,-23.325206896551713,1.2339148148148147,-2.1755241379310344,16.8,6.593620071684587,15.854945454545462,20.9,No,0,0
West,Rural,15450.0,-0.24915750915750579,4.156551724137927,14376.119565217406,5.498754448398575,147111.6240875913,69.46,10.72,30.244793103448288,-1.0280851851851853,0.7004758620689655,1.1,1.413620071684587,10.73494545454546,33.7,No,0,0
